t,k,delta_fdm,delta_dot_fdm,scale_factor_a
2102.0608831301583,0.01,0.021207632615640574,6.725261523901198e-06,164.0955713568554
2181.108924191515,0.01,0.021736014455466506,6.643046045985931e-06,168.18408745866972
2263.129568399525,0.01,0.022277497312593805,6.5619100194221255e-06,172.3744708063617
2348.2346005542713,0.01,0.022832417688620044,6.481816659294007e-06,176.6692594688842
2436.540009125461,0.01,0.023401128842554565,6.402719904684997e-06,181.07105475233757
2528.166144331495,0.01,0.023983999419286132,6.324570320396387e-06,185.58252277555158
2623.2378821631182,0.01,0.024581410933876953,6.2473236297811655e-06,190.2063960849242
2721.884794575174,0.01,0.02519375376865588,6.1709525676818084e-06,194.94547530949492
2824.2413260784297,0.01,0.02582142126195555,6.095462889608773e-06,199.8026308572547
2930.4469769721386,0.01,0.026464811386503636,6.02088465833106e-06,204.78080465372068
3040.6464934670626,0.01,0.0271243429516634,5.94713342108663e-06,209.8830119238275
3154.9900649580823,0.01,0.02780036590635591,5.8742345793985084e-06,215.11234301821636
3273.6335287152406,0.01,0.02849323669484009,5.8022270045993015e-06,220.4719652850259
3396.7385822722026,0.01,0.029203331697551058,5.731136614257524e-06,225.96512498832024
3524.4730038015805,0.01,0.029931048915694536,5.660975704307021e-06,231.59514927431505
3657.0108807774855,0.01,0.030676809412543724,5.591742775763675e-06,237.3654481865936
3794.5328472369342,0.01,0.031441058366205275,5.523423044618122e-06,243.2795167315323
3937.2263299634756,0.01,0.03222426554868146,5.455989869624129e-06,249.34093699518763
4085.2858039285575,0.01,0.0330269249974263,5.389407388319598e-06,255.55338031292604
4238.913057338775,0.01,0.033849553586590066,5.32363471850148e-06,261.92060949311133
4398.317466650219,0.01,0.03469268813377815,5.258632162624932e-06,268.44648109619607
4563.716281924754,0.01,0.03555688059206681,5.194369948679222e-06,275.13494777059793
4735.334922917111,0.01,0.03644269077344975,5.130840155911788e-06,281.99006064677496
4913.407286296357,0.01,0.03735067671183877,5.068071400767754e-06,289.0159717909507
5098.17606442042,0.01,0.038281439700936504,5.006021814873781e-06,296.2169367199748
5289.893076098146,0.01,0.03923551058378364,4.9446710387612595e-06,303.59731697884285
5488.819609789666,0.01,0.0402133870861548,4.884055555236157e-06,311.1615827824358
5695.226779712819,0.01,0.04121559436241419,4.824201293443403e-06,318.9143157230798
5909.395895340965,0.01,0.04224268747941422,4.765122947409414e-06,326.8602115455665
6131.618844795769,0.01,0.04329525361874871,4.706823657755617e-06,335.00408299131306
6362.198492657482,0.01,0.04437391380906146,4.649295201727444e-06,343.35086271338747
6601.4490927348825,0.01,0.04547932394732589,4.592518872656695e-06,351.9056062641613
6849.69671635744,0.01,0.04661217480365225,4.536467273390657e-06,360.67349515740256
7107.279696773411,0.01,0.04777319062599113,4.481107300480726e-06,369.6598400066609
7374.549090259547,0.01,0.04896312586642338,4.426404658677897e-06,378.8700837418481
7651.869154570817,0.01,0.05018275943640983,4.3723303204768265e-06,388.3098049059602
7939.617845382276,0.01,0.05143288576071198,4.318869435371178e-06,397.98472103394005
8238.1873313996,0.01,0.05271430173431123,4.2660333008197e-06,407.90069211572427
8547.984528840405,0.01,0.05402783063908804,4.213828756422823e-06,418.0637241455755
8869.431656014704,0.01,0.055374296105259874,4.162201378864217e-06,428.4799727598459
9202.96680876041,0.01,0.05675439984819379,4.111179801710171e-06,439.1557469653788
9549.044557518077,0.01,0.058168875090991286,4.0607890655512785e-06,450.0975129608043
9908.136566858666,0.01,0.05961849639036345,4.011044978577372e-06,461.3118980530445
10280.732238308647,0.01,0.06110408294291407,3.961953726623287e-06,472.80569467139986
10667.33937734857,0.01,0.06262650132699016,3.913511861617711e-06,484.5858644816492
11068.48488549412,0.01,0.0641866673657608,3.865706808535636e-06,496.6595426026535
11484.71547840289,0.01,0.06578554671185327,3.818518064932098e-06,509.03404192801867
11916.598430985588,0.01,0.06742415365007769,3.7719193080712486e-06,521.7168575554346
12364.722350537151,0.01,0.06910354748893824,3.725881673863992e-06,534.715671326373
12829.697978941475,0.01,0.07082482575954327,3.680378530824372e-06,548.0383564788942
13312.159025043076,0.01,0.07258911325721121,3.635392142856061e-06,561.6929824163806
13812.763028320094,0.01,0.07439754574065778,3.5909226990095516e-06,575.6878195950848
14332.192255035709,0.01,0.07625126365036056,3.5469906147182138e-06,590.0313445334533
14871.154628089507,0.01,0.0781514890348681,3.5035495174968593e-06,604.7322449462637
15430.384691835614,0.01,0.08009924887939339,3.46060681453722e-06,619.7994250066718
16010.644613183145,0.01,0.08209556748126651,3.4181861162460167e-06,635.2420107393751
16612.725220342894,0.01,0.08414152618424484,3.3763034713624333e-06,651.0693555481447
17237.44708063616,0.01,0.08623826827904685,3.334966951580836e-06,667.2910458810778
17885.661618834583,0.01,0.08838700323318237,3.294176517569214e-06,683.9169070370043
18558.25227755515,0.01,0.09058900983996358,3.2539242749185755e-06,700.957009116561
19256.135721291947,0.01,0.0928456377633107,3.2141952551947806e-06,718.421673121542
19980.263085725466,0.01,0.09515830681700704,3.1749688893863235e-06,736.3214772062138
20731.62127401227,0.01,0.09752850314962158,3.13622137967994e-06,754.6672630843879
21511.234301821627,0.01,0.09995777130373783,3.0979292218648186e-06,773.4701425961265
22320.164692952298,0.01,0.1024477008737254,3.0600741861945134e-06,792.7415044380618
23159.514927431497,0.01,0.10499990619218108,3.022650130904158e-06,812.4930210614039
24030.42894406965,0.01,0.10761599726478327,2.985672058562046e-06,832.7366557418151
24934.093699518755,0.01,0.11029769714548474,2.949122552330447e-06,853.4846698254347
25871.740785959184,0.01,0.11304657166659828,2.912982441907802e-06,874.7496301554406
26844.648109619597,0.01,0.1158640524404276,2.8772736067999584e-06,896.5444166836479
27854.14163241763,0.01,0.11875164971603527,2.8420117522326104e-06,918.8822302717531
28901.597179095057,0.01,0.12171095957169681,2.8072059970272508e-06,941.7766006869509
29988.442312310246,0.01,0.12474367032240534,2.772858670231607e-06,965.2413947967642
31116.158278243565,0.01,0.12785156760734304,2.7389654006541197e-06,989.2908249680537
32286.282025367273,0.01,0.13103653747177627,2.7055156043567436e-06,1013.9394576752907
33500.40829913129,0.01,0.13430056657433895,2.672493500394363e-06,1039.2022223233103
34760.191815419734,0.01,0.13764573842770675,2.6398798154683496e-06,1065.094420289888
36067.34951574024,0.01,0.1410742243106253,2.6076543746475655e-06,1091.6317341936135
37423.66290721977,0.01,0.14458826716315756,2.5757998190342547e-06,1118.8302373926817
38830.980490596005,0.01,0.14819015638425992,2.5443067435463184e-06,1146.7064037203472
40291.220279513436,0.01,0.15188219097889047,2.513180610416734e-06,1175.2771174629438
41806.37241455753,0.01,0.1556667326340018,2.482427963406961e-06,1204.55968358651
43378.50187558984,0.01,0.15954618186499142,2.4520153993440585e-06,1234.5718382182163
45009.751296080416,0.01,0.1635225675838124,2.421958577129795e-06,1265.3317593889415
46702.34388327331,0.01,0.16759799983064172,2.3922724801086265e-06,1296.858078043506
48458.586448164904,0.01,0.17177470738522177,2.362966673267903e-06,1329.169889325229
50280.87254942475,0.01,0.17605504734140281,2.334045065812004e-06,1362.2867641416453
52171.68575554343,0.01,0.18044151308465256,2.305505893299657e-06,1396.2287610183898
54133.60302965376,0.01,0.18493673977480277,2.277342001024241e-06,1431.016438248424
56169.29824163803,0.01,0.1895435061921532,2.2495415301539295e-06,1466.6708663439667
58281.545812308395,0.01,0.19426473150803486,2.222089132051368e-06,1503.2136407986727
60473.224494626425,0.01,0.19910346518081223,2.194967864922972e-06,1540.6668951677825
62747.32129711574,0.01,0.20406286774300567,2.1681619614030973e-06,1579.053314474174
65106.93555481455,0.01,0.20914617972047644,2.1416606969140027e-06,1618.396148948431
67555.2831533164,0.01,0.21435667529363434,2.1154636379001614e-06,1658.719228111249
70095.70091165617,0.01,0.2196976361725951,2.089583029993342e-06,1700.046975206716
72731.65113001455,0.01,0.22517259242168206,2.063992539859936e-06,1742.4044219952002
75466.72630843885,0.01,0.23078452277828168,2.0386949954173486e-06,1785.8172239148093
78304.65404301183,0.01,0.23653637628758975,2.0137044263903857e-06,1830.3116756206111
81249.30210614047,0.01,0.24243126602399695,1.9890304201569893e-06,1875.9147269110106
84304.68371788967,0.01,0.24847248324581678,1.9646778734518625e-06,1922.653999050949
87474.96301554416,0.01,0.25466350964176493,1.94064690817521e-06,1970.5578015017982
90764.46072885356,0.01,0.26100802649427624,1.916933014814745e-06,2019.6551490680881
94177.6600686952,0.01,0.26750991925984735,1.8935275025898545e-06,2069.975779471455
97719.21283717977,0.01,0.2741732756708462,1.8704183542419287e-06,2121.550171362447
101393.94576752896,0.01,0.2810023749828857,1.847591606028388e-06,2174.4095627811203
105206.86710236207,0.01,0.28800166541064726,1.8250334006415704e-06,2228.5859700775554
109163.17341936125,0.01,0.2951757260938064,1.8027328933047278e-06,2284.11220730382
113268.25671361513,0.01,0.3025292090907928,1.7806862301812726e-06,2341.0219060890745
117527.71174629427,0.01,0.3100667558945271,1.7589018640370441e-06,2399.3495360098805
